"","Date","max","min","mean","sd"
"S2019-07-19",2019-07-19,0.952913759456554,0.0013197496760517,0.329808573385673,0.256307063652001
"S2019-07-21",2019-07-21,0.886687554424104,0.173597893364691,0.594426189189008,0.185797270744584
"L2019-07-22",2019-07-22,0.88257553823329,0.168695418836541,0.615137796935891,0.170786421968939
"S2019-07-23",2019-07-23,0.885561274624306,0.182404062355185,0.630003198040621,0.169317084215114
"S2019-07-24",2019-07-24,0.878276012977693,0.178590034724012,0.616435712275077,0.169216158968685
"S2019-07-26",2019-07-26,0.896320301231746,0.108888869664551,0.629254398310637,0.182760474318962
"S2019-07-26.1",2019-07-26,0.88803633987633,0.194991343113951,0.630814230276589,0.170206695073405
"S2019-07-28",2019-07-28,0.908665626689124,0.145260432861616,0.627753564455442,0.186749260502741
"S2019-07-28.1",2019-07-28,0.892728592969124,0.216552162152443,0.627082412640435,0.170690775649709
"L2019-07-29",2019-07-29,0.916971915305769,0.134656492745318,0.624372662754676,0.190185069719949
"L2019-07-29.1",2019-07-29,0.904692988365902,0.18812754681701,0.627211304218761,0.179022301945424
"S2019-07-29",2019-07-29,0.905361298981143,0.151102641290634,0.632616147495983,0.18834199807315
"S2019-07-29.1",2019-07-29,0.903516752141187,0.185293471314354,0.639685475660096,0.177835006473079
"S2019-08-05",2019-08-05,0.844537809170508,0.16544655226971,0.584382868028758,0.161698512093516
"S2019-08-05.1",2019-08-05,0.826560508372666,0.194095323272829,0.5843361048983,0.150327043980907
"S2019-08-07",2019-08-07,0.87791075899061,0.180414666444316,0.614699500303478,0.165349017216345
"L2019-08-23",2019-08-23,0.872357426680419,0.185331902983341,0.595370190979495,0.165775344513514
"S2019-08-23",2019-08-23,0.869780730522651,0.199031635073941,0.607123507485258,0.1659145970185
"S2019-08-28",2019-08-28,0.858249302786351,0.188334310258435,0.618109643106914,0.156224219833406
"L2019-08-30",2019-08-30,0.860486283139466,0.1724359516402,0.607926570322572,0.167615224468214
"L2019-08-30.1",2019-08-30,0.873291270946991,0.123336951280893,0.604788093500692,0.17842142173585
"S2019-08-30",2019-08-30,0.883283875745506,0.0813609455227549,0.617074833309099,0.182620946839655
"S2019-08-30.1",2019-08-30,0.865469386179373,0.180517687966417,0.618290036963333,0.168456456040913
"S2019-09-04",2019-09-04,0.878265412148203,0.0486408872309304,0.634147627979874,0.17532482879549
"S2019-09-04.1",2019-09-04,0.862903311977775,0.175162123036664,0.634936076082392,0.162191864712882
"S2019-09-07",2019-09-07,0.80463455922888,0.179515208545388,0.611932575435853,0.15451045722543
"S2019-09-19",2019-09-19,0.797155889219319,0.112954700565113,0.589929012848392,0.153569945298182
"S2019-09-19.1",2019-09-19,0.782697851585596,0.177407614774271,0.591025015103092,0.141746000684934
"S2019-09-21",2019-09-21,0.854063013051161,0.0939306086101362,0.644198216931993,0.170639877606317
"S2019-09-21.1",2019-09-21,0.839115605823404,0.196986172154382,0.638460322296538,0.155954061504952
"S2020-06-02",2020-06-02,0.766490770796098,0.0867875388266214,0.52337390840486,0.166872046727279
"S2020-06-02.1",2020-06-02,0.750543979028368,0.133317439983335,0.523065753179955,0.15316054233505
"S2020-06-03",2020-06-03,0.807131778095986,0.0805222930049911,0.551605964950207,0.177644988238007
"S2020-06-03.1",2020-06-03,0.79886451478634,0.142384714201764,0.558109411816448,0.165886834794282
